title,author,publisher,image_url,isbn,category
슬램덩크 신장재편판 16,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/17214/22/cover500/k522534992_1.jpg,9791133487660,['만화']
당신도 느리게 나이 들 수 있습니다,정희원,더퀘스트,https://image.aladin.co.kr/product/30720/48/cover500/k102830242_1.jpg,9791140702589,"['건강/취미', '인문학']"
슬램덩크 신장재편판 18,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/17214/23/cover500/k672534992_1.jpg,9791133487684,['만화']
슬램덩크 그로부터 10일 후 (SLAM DUNK 10 DAYS AFTER),이노우에 타케히코 (그림),대원씨아이(만화),https://image.aladin.co.kr/product/100/84/cover500/8925218801_2.jpg,9788925218809,['만화']
슬램덩크 신장재편판 1,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/16082/5/cover500/k092533843_1.jpg,9791133487516,['만화']
슬램덩크 신장재편판 20,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/17214/25/cover500/k632534992_1.jpg,9791133487707,['만화']
"2023 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하",최태성,이투스북,https://image.aladin.co.kr/product/30684/57/cover500/k002830232_1.jpg,9791138911733,['수험서/자격증']
슬램덩크 신장재편판 2,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/16082/6/cover500/s072533847_1.jpg,9791133487523,['만화']
슬램덩크 신장재편판 6,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/16082/13/cover500/k112533843_1.jpg,9791133487561,['만화']
역행자,자청,웅진지식하우스,https://image.aladin.co.kr/product/29521/63/cover500/s572830936_1.jpg,9788901260716,"['경제경영', '자기계발', '추천도서']"
슬램덩크 신장재편판 15,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/17214/21/cover500/k592534992_1.jpg,9791133487653,['만화']
도쿄대 리벤저스 1,후나츠 신페이,학산문화사(만화),https://image.aladin.co.kr/product/31311/34/cover500/k712832785_1.jpg,9791169475617,['만화']
슬램덩크 신장재편판 11,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/16956/65/cover500/k452534471_1.jpg,9791133487615,['만화']
잊혀진 계절 1,김도형,에이에스(도서출판),https://image.aladin.co.kr/product/28687/34/cover500/k062836369_1.jpg,9791197732706,['에세이']
슬램덩크 신장재편판 9,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/16625/51/cover500/k342534269_1.jpg,9791133487592,['만화']
슬램덩크 신장재편판 10,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/16625/52/cover500/k472534269_1.jpg,9791133487608,['만화']
슬램덩크 신장재편판 7,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/16625/50/cover500/k382534269_1.jpg,9791133487578,['만화']
초수익 성장주 투자,마크 미너비니,이레미디어,https://image.aladin.co.kr/product/31192/40/cover500/k832831953_1.jpg,9791191328790,['경제경영']
슬램덩크 신장재편판 8,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/16625/51/cover500/k322534269_1.jpg,9791133487585,['만화']
슬램덩크 신장재편판 13,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/16956/66/cover500/k412534471_1.jpg,9791133487639,['만화']
슬램덩크 신장재편판 12,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/16956/65/cover500/k402534471_1.jpg,9791133487622,['만화']
슬램덩크 신장재편판 14,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/16956/67/cover500/k432534471_1.jpg,9791133487646,['만화']
수레바퀴 아래서 (오리지널 초판본 표지디자인),헤르만 헤세,코너스톤,https://image.aladin.co.kr/product/9870/83/cover500/k822535559_2.jpg,9791187011606,"['고전', '소설/시/희곡', '추천도서']"
슬램덩크 신장재편판 3,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/16082/6/cover500/k032533843_1.jpg,9791133487530,['만화']
상처 주는 말 하는 친구에게 똑똑하게 말하는 법,김윤나,북라이프,https://image.aladin.co.kr/product/31132/94/cover500/k572831944_1.jpg,9791191013498,['어린이']
순례 주택 (10만부 돌파 기념 스페셜 봄 에디션),유은실,비룡소,https://image.aladin.co.kr/product/31247/42/cover500/8949123517_1.jpg,9788949123516,['청소년']
슬램덩크 신장재편판 4,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/16082/7/cover500/k152533843_1.jpg,9791133487547,['만화']
불편한 편의점 2 (단풍 에디션),김호연,나무옆의자,https://image.aladin.co.kr/product/30370/64/cover500/k472839851_3.jpg,9791161571379,"['소설/시/희곡', '추천도서']"
슬램덩크 신장재편판 5,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/16082/7/cover500/k172533843_1.jpg,9791133487554,['만화']
수학의 이해 (초판 2쇄),김웅용,영민,https://image.aladin.co.kr/product/30041/38/cover500/s502831422_1.jpg,9788963414126,"['과학', '대학교재/전문서적']"
슬램덩크 챔프,이노우에 타케히코,대원씨아이(만화),https://image.aladin.co.kr/product/30790/19/cover500/k482831469_1.jpg,9791169792974,['만화']
